species,habitat,long,lat,air_temp_dryQ_C,max_air_temp_C,mean_annual_sst_C,pp_mean,sss_saltiest_month_psu,sst_warmest_month_C,tidal_range_minmax_fill_m,topo_bath,topo_bath_slope
bengalensis,mangrove,75.595998,11.553457,27.59166654,31.79999924,27.62,0.021487053,35.29,29.67,1.546481718,3.795613152,0.391251017
bengalensis,mangrove,75.53595026,11.70997102,27.48333359,31.89999962,27.89,0.0222916,35.25,29.78,1.560399548,18.08378009,0.319959714
bengalensis,mangrove,75.346668,11.929932,27.70000013,32.29999924,27.18,0.020298498,35.15,29.5,1.575933979,7.337316689,0.469977247
bengalensis,mangrove,75.314275,11.955978,27.59999975,32.29999924,26.03,0.020552663,35.14,28.07,1.58495088,5.687363247,0.152461855
bengalensis,mangrove,75.27198351,12.02690343,27.67500003,32.3375001,27.53,0.020297525,35.11,30.89,1.610292575,15.17532501,0.73109595
bengalensis,mangrove,75.230132,12.03063405,27.66666667,32.20000076,27.58333333,0.019468575,35.10333333,30.73,1.617810811,13.12194242,1.518615868
bengalensis,mangrove,74.78653201,13.07633406,27.19999981,32.29999924,27.82111111,0.015813715,34.91,29.38,1.879784158,7.465501319,0.491153796
bengalensis,mangrove,74.69557436,13.46954682,26.93333371,31.79999924,27.36,0.015976987,34.91,30.98,2.033770394,6.337996088,0.256398963
bengalensis,mangrove,74.67170823,13.6233125,26.91666667,31.70000076,28.0575,0.016293373,34.91,29.845,2.071299235,3.865758977,0.263092592
bengalensis,mangrove,74.65211998,13.66677552,26.85000006,31.79999924,27.695,0.016498493,34.91,29.755,2.07741352,12.98318585,0.703395179
bengalensis,mangrove,74.37882761,14.49599854,26.51666641,31.70000076,28.09,0.027838758,35.23,29.68,2.285388328,1.93553167,0.2058378
bengalensis,mangrove,73.89402537,15.40643491,26.5,32.79999924,27.5,0.026316625,35.81,30.11,2.397572212,14.07956675,1.707007417
bengalensis,mangrove,73.78128248,15.49763647,26.36666679,31.70000076,27.555,0.027607718,35.8875,29.8275,2.403901743,28.89637539,0.512478344
bengalensis,mangrove,73.72414087,15.72646276,26.35000006,32.40000153,26.68,0.02559875,35.96666667,28.7,2.429030287,5.712703301,0.589622386
bengalensis,mangrove,73.68454308,15.75374493,26.38333352,32.79999924,27.23475,0.02560525,35.97925,29.1055,2.431823023,6.41933536,1.13117597
bengalensis,mangrove,73.65952956,15.79444226,26.36666648,32.59999847,27.74,0.025663825,35.99,29.47,2.434211873,13.53262801,0.700474427
bengalensis,mangrove,73.62515084,15.85899599,26.13333321,32.40000153,27.51,0.025507225,36.01,30.03,2.439482629,30.78787465,0.946903103
bengalensis,mangrove,73.46897738,16.07389684,26.13333289,32.40000153,27.79,0.02009949,36.07,29.07,2.482123425,4.059630634,0.525089501
