"","genus","species","area","lat","long","row","col","shelf.lat","shelf.long","habitat","coast","tidal.range","tidal.range.2m","MS_bathy_5m","MS_biogeo05_dist_shore_5m","MS_biogeo06_bathy_slope_5m","MS_biogeo08_sss_mean_5m","MS_biogeo10_sss_max_5m","MS_biogeo12_sss_variance_5m","MS_biogeo13_sst_mean_5m","MS_biogeo15_sst_max_5m","MS_biogeo17_sst_variance_5m","MS_sss01_5m","MS_sss06_5m","MS_sst01_5m","MS_sst06_5m","BO_chlomean","BO_chlomin","BO_cloudmean","BO_nitrate","BO_phosphate","BO2_ironmean_ss","BO2_ppmean_ss","BO2_ppmin_ss","slope","slope.mean","shelf.width"
"1","Littoraria","strigata","Rushikonda",17.78061317,83.3873663,387,641,17.7916666666667,83.9583333333333,"rocky","east","E_low","E_low",-15,2,0.029999999,32.20000076,34.00999832,4.271100044,27.38999939,28.86000061,1.336400032,32.66999817,33.74000168,25.10000038,28.12999916,1.460999966,0.324000001,0.536000013,0.996999979,0.3574,0.001366526,0.014734196,0.000978713,1.39494198808029,2.25346264139449,60553.0606916326
"2","Echinolittorina","leucosticta","Rushikonda",17.78061317,83.3873663,387,641,17.7916666666667,83.9583333333333,"rocky","east","E_low","E_low",-15,2,0.029999999,32.20000076,34.00999832,4.271100044,27.38999939,28.86000061,1.336400032,32.66999817,33.74000168,25.10000038,28.12999916,1.460999966,0.324000001,0.536000013,0.996999979,0.3574,0.001366526,0.014734196,0.000978713,1.39494198808029,2.25346264139449,60553.0606916326
"3","Echinolittorina","malaccana","Rushikonda",17.78061317,83.3873663,387,641,17.7916666666667,83.9583333333333,"rocky","east","E_low","E_low",-15,2,0.029999999,32.20000076,34.00999832,4.271100044,27.38999939,28.86000061,1.336400032,32.66999817,33.74000168,25.10000038,28.12999916,1.460999966,0.324000001,0.536000013,0.996999979,0.3574,0.001366526,0.014734196,0.000978713,1.39494198808029,2.25346264139449,60553.0606916326
"4","Echinolittorina","vidua","Rushikonda",17.78061317,83.3873663,387,641,17.7916666666667,83.9583333333333,"rocky","east","E_low","E_low",-15,2,0.029999999,32.20000076,34.00999832,4.271100044,27.38999939,28.86000061,1.336400032,32.66999817,33.74000168,25.10000038,28.12999916,1.460999966,0.324000001,0.536000013,0.996999979,0.3574,0.001366526,0.014734196,0.000978713,1.39494198808029,2.25346264139449,60553.0606916326
"5","Littoraria","undulata","Rushikonda",17.78061317,83.3873663,387,641,17.7916666666667,83.9583333333333,"rocky","east","E_low","E_low",-15,2,0.029999999,32.20000076,34.00999832,4.271100044,27.38999939,28.86000061,1.336400032,32.66999817,33.74000168,25.10000038,28.12999916,1.460999966,0.324000001,0.536000013,0.996999979,0.3574,0.001366526,0.014734196,0.000978713,1.39494198808029,2.25346264139449,60553.0606916326
"6","Littoraria","undulata","Rushikonda",17.78026826,83.38708232,387,641,17.7916666666667,83.9583333333333,"rocky","east","E_low","E_low",-15,2,0.029999999,32.20000076,34.00999832,4.271100044,27.38999939,28.86000061,1.336400032,32.66999817,33.74000168,25.10000038,28.12999916,1.460999966,0.324000001,0.536000013,0.996999979,0.3574,0.001366526,0.014734196,0.000978713,1.39494198808029,2.25346264139449,60584.006447373
"7","Echinolittorina","malaccana","Rushikonda",17.78026826,83.38708232,387,641,17.7916666666667,83.9583333333333,"rocky","east","E_low","E_low",-15,2,0.029999999,32.20000076,34.00999832,4.271100044,27.38999939,28.86000061,1.336400032,32.66999817,33.74000168,25.10000038,28.12999916,1.460999966,0.324000001,0.536000013,0.996999979,0.3574,0.001366526,0.014734196,0.000978713,1.39494198808029,2.25346264139449,60584.006447373
"8","Echinolittorina","leucosticta","Rushikonda",17.78026826,83.38708232,387,641,17.7916666666667,83.9583333333333,"rocky","east","E_low","E_low",-15,2,0.029999999,32.20000076,34.00999832,4.271100044,27.38999939,28.86000061,1.336400032,32.66999817,33.74000168,25.10000038,28.12999916,1.460999966,0.324000001,0.536000013,0.996999979,0.3574,0.001366526,0.014734196,0.000978713,1.39494198808029,2.25346264139449,60584.006447373
"9","Echinolittorina","vidua","Rushikonda",17.78007539,83.3868908,387,641,17.7916666666667,83.9583333333333,"rocky","east","E_low","E_low",-15,2,0.029999999,32.20000076,34.00999832,4.271100044,27.38999939,28.86000061,1.336400032,32.66999817,33.74000168,25.10000038,28.12999916,1.460999966,0.324000001,0.536000013,0.996999979,0.3574,0.001366526,0.014734196,0.000978713,1.39494198808029,2.25346264139449,60604.7898876959
"10","Littoraria","undulata","Rushikonda",17.78007539,83.3868908,387,641,17.7916666666667,83.9583333333333,"rocky","east","E_low","E_low",-15,2,0.029999999,32.20000076,34.00999832,4.271100044,27.38999939,28.86000061,1.336400032,32.66999817,33.74000168,25.10000038,28.12999916,1.460999966,0.324000001,0.536000013,0.996999979,0.3574,0.001366526,0.014734196,0.000978713,1.39494198808029,2.25346264139449,60604.7898876959
