species,long,lat,area,habitat
none,75.46373338,11.78512467,Dharmadom_rail,mangrove
none,76.581075,8.987507,Koyivila,mangrove
none,76.228733,9.983031,Kochi_LPG,mangrove
none,75.85023777,11.15668989,Kadalundi_bridge,mangrove
none,74.43693708,14.28788913,Honnavar,mangrove
none,72.839869,20.804739,Onjal,rocky
none,72.77817705,20.30291433,Maroli,mangrove
none,72.77820865,20.30301718,Maroli,mangrove
none,72.76505593,20.30335925,Maroli,rocky
none,72.72859298,20.07935104,Gholvad,mangrove
none,72.90456651,18.63242324,Near_Alibag,mangrove
none,72.90387835,18.49601682,Near_Kashid,mixed
none,73.03347674,17.99170847,Near_Harihareshwar,mangrove
none,73.06061014,17.99244365,Harihareshwar_jetty,mangrove
none,70.992068,20.731858,Diu_checkpost,mangrove
none,68.98475851,22.22756132,Dwaraka_checkpost,mangrove
none,68.80101688,23.06554553,Pingaleshwar,rocky
none,79.822006,11.918426,Pondicherry_Harbour,mangrove
none,74.85365781,12.82926807,Azad_Nagar,mangrove
none,74.67716913,13.60341067,Kundapura,mangrove
none,74.39177815,14.46374129,Kumta_MasurRd,mangrove
