species,long,lat,area,habitat
strigata,83.3873663,17.78061317,Rushikonda,rocky
leucosticta,83.3873663,17.78061317,Rushikonda,rocky
malaccana,83.3873663,17.78061317,Rushikonda,rocky
vidua,83.3873663,17.78061317,Rushikonda,rocky
undulata,83.3873663,17.78061317,Rushikonda,rocky
undulata,83.38708232,17.78026826,Rushikonda,rocky
malaccana,83.38708232,17.78026826,Rushikonda,rocky
leucosticta,83.38708232,17.78026826,Rushikonda,rocky
vidua,83.3868908,17.78007539,Rushikonda,rocky
undulata,83.3868908,17.78007539,Rushikonda,rocky
undulata,83.38685718,17.77984707,Rushikonda,rocky
malaccana,83.38671084,17.77956854,Rushikonda,rocky
vidua,83.38671084,17.77956854,Rushikonda,rocky
undulata,83.26355084,17.65129851,Yarada,rocky
leucosticta,83.26355084,17.65129851,Yarada,rocky
malaccana,83.26355084,17.65129851,Yarada,rocky
leucosticta,83.26064886,17.64900933,Yarada,rocky
malaccana,83.26064886,17.64900933,Yarada,rocky
undulata,83.26064886,17.64900933,Yarada,rocky
strigata,82.26882622,16.95561103,Kakinada,mangrove
bengalensis,82.26882622,16.95561103,Kakinada,mangrove
strigata,82.2690081,16.95497853,Kakinada,mangrove
bengalensis,82.2690081,16.95497853,Kakinada,mangrove
pallescens,82.2690081,16.95497853,Kakinada,mangrove
pallescens,82.26901347,16.95489345,Kakinada,mangrove
bengalensis,82.26901347,16.95489345,Kakinada,mangrove
bengalensis,82.2476112,16.93196408,Kakinada,mangrove
pallescens,82.2476112,16.93196408,Kakinada,mangrove
bengalensis,82.24752076,16.93186845,Kakinada,mangrove
pallescens,82.24752076,16.93186845,Kakinada,mangrove
bengalensis,81.17746923,16.14581927,Machilipatnam,mangrove
melanostoma,81.18586111,16.14448244,Machilipatnam,mangrove
strigata,81.18705377,16.14246902,Machilipatnam,mangrove
melanostoma,81.18705377,16.14246902,Machilipatnam,mangrove
bengalensis,81.18705377,16.14246902,Machilipatnam,mangrove
pallescens,81.18705377,16.14246902,Machilipatnam,mangrove
bengalensis,81.10231482,15.97157417,Hamsaladeevi,mangrove
pallescens,81.10231482,15.97157417,Hamsaladeevi,mangrove
leucosticta,80.2538343,12.79026398,Kovalam_TN,rocky
undulata,80.2538343,12.79026398,Kovalam_TN,rocky
undulata,79.83645986,11.93472404,Pondicherry,rocky
malaccana,79.83645986,11.93472404,Pondicherry,rocky
leucosticta,79.83645986,11.93472404,Pondicherry,rocky
malaccana,79.83015331,11.90342861,Veerampattinam,rocky
undulata,79.83015331,11.90342861,Veerampattinam,rocky
leucosticta,79.83015331,11.90342861,Veerampattinam,rocky
vidua,79.83015331,11.90342861,Veerampattinam,rocky
bengalensis,79.79751,11.434962,Pichavaram,mangrove
strigata,79.85224877,10.67769094,Velankanni,rocky
undulata,79.85224877,10.67769094,Velankanni,rocky
malaccana,79.85224877,10.67769094,Velankanni,rocky
strigata,79.37902017,10.31217417,Erippurakarai,mangrove
strigata,79.26630286,10.03865775,Manamelkudi,rocky
malaccana,79.17835146,9.28098173,Mandapam,rocky
undulata,79.17835146,9.28098173,Mandapam,rocky
malaccana,79.17872421,9.28087201,Mandapam,rocky
leucosticta,79.17872421,9.28087201,Mandapam,rocky
leucosticta,79.16364038,9.27882263,Mandapam,rocky
malaccana,79.16364038,9.27882263,Mandapam,rocky
leucosticta,79.16292063,9.27862331,Mandapam,rocky
malaccana,79.16292063,9.27862331,Mandapam,rocky
leucosticta,79.38183105,9.19866297,Dhanushkodi,rocky
bengalensis,78.15973649,8.77004203,Tuticorin,mangrove
bengalensis,78.16043487,8.7700417,Tuticorin,mangrove
bengalensis,78.15865162,8.76990139,Tuticorin,mangrove
undulata,78.12638506,8.50184955,Tiruchendur,rocky
leucosticta,78.12638506,8.50184955,Tiruchendur,rocky
leucosticta,78.12928847,8.49502626,Tiruchendur,rocky
undulata,78.12928847,8.49502626,Tiruchendur,rocky
undulata,78.125929,8.4904712,Tiruchendur,rocky
leucosticta,78.125929,8.4904712,Tiruchendur,rocky
malaccana,78.125929,8.4904712,Tiruchendur,rocky
undulata,77.5750833,8.1338917,Anjugramam,rocky
undulata,77.53441315,8.07780831,Kanyakumari,rocky
leucosticta,77.53441315,8.07780831,Kanyakumari,rocky
malaccana,77.53441315,8.07780831,Kanyakumari,rocky
undulata,77.53511933,8.07810553,Kanyakumari,rocky
undulata,77.53572945,8.07846076,Kanyakumari,rocky
undulata,77.53564688,8.07849353,Kanyakumari,rocky
undulata,77.31491047,8.12369529,Muttom,rocky
leucosticta,77.31491047,8.12369529,Muttom,rocky
undulata,77.31356928,8.12404524,Muttom,rocky
undulata,77.31425802,8.12409762,Muttom,rocky
undulata,77.31074953,8.12686097,Muttom,rocky
undulata,77.30877944,8.12751777,Muttom,rocky
undulata,76.9828229,8.38130822,Vizhinjam,rocky
leucosticta,76.9828229,8.38130822,Vizhinjam,rocky
undulata,76.98169319,8.38197609,Vizhinjam,rocky
undulata,76.9738577,8.3901342,Kovalam,rocky
undulata,76.97289244,8.39781487,Kovalam,rocky
undulata,76.97236866,8.39918884,Kovalam,rocky
leucosticta,76.97236866,8.39918884,Kovalam,rocky
undulata,76.70729533,8.73063829,Varkala,rocky
leucosticta,76.70729533,8.73063829,Varkala,rocky
undulata,76.7003588,8.73787464,Varkala,rocky
bengalensis,76.239211,9.981729,Kochi/Puthuvypin,mangrove
bengalensis,75.91748561,10.78368279,Ponnani,mangrove
bengalensis,75.918169,10.784107,Ponnani,mangrove
bengalensis,75.84113108,11.13771116,Kadalundi,mangrove
vidua,75.73609988,11.33122031,Thalakolattur,rocky
leucosticta,75.73609988,11.33122031,Thalakolattur,rocky
undulata,75.73609988,11.33122031,Thalakolattur,rocky
bengalensis,75.595998,11.553457,Kolavipalam,mangrove
bengalensis,75.53595026,11.70997102,Mahe,mangrove
leucosticta,75.45354475,11.77120392,Dharmadom_rocky,rocky
undulata,75.45354475,11.77120392,Dharmadom_rocky,rocky
vidua,75.45354475,11.77120392,Dharmadom_rocky,rocky
undulata,75.4032069,11.83850935,Thottadam beach,rocky
vidua,75.4032069,11.83850935,Thottadam beach,rocky
leucosticta,75.4032069,11.83850935,Thottadam beach,rocky
malaccana,75.4032069,11.83850935,Thottadam beach,rocky
leucosticta,75.319508,11.911221,Azhikode/Chala beach,rocky
undulata,75.319508,11.911221,Azhikode/Chala beach,rocky
bengalensis,75.346668,11.929932,Valapattanam,mangrove
bengalensis,75.314275,11.955978,Madakkara,mangrove
leucosticta,75.21363867,12.01037851,Ettikulam beach,rocky
undulata,75.21363867,12.01037851,Ettikulam beach,rocky
