"species","long","lat","area","habitat"
"strigata",82.26882622,16.95561103,"Kakinada","mangrove"
"strigata",82.2690081,16.95497853,"Kakinada","mangrove"
"pallescens",82.26901347,16.95489345,"Kakinada","mangrove"
"bengalensis",82.2476112,16.93196408,"Kakinada","mangrove"
"bengalensis",82.24752076,16.93186845,"Kakinada","mangrove"
"bengalensis",81.17746923,16.14581927,"Machilipatnam","mangrove"
"melanostoma",81.18586111,16.14448244,"Machilipatnam","mangrove"
"strigata",81.18705377,16.14246902,"Machilipatnam","mangrove"
"bengalensis",81.10231482,15.97157417,"Hamsaladeevi","mangrove"
"bengalensis",79.79751,11.434962,"Pichavaram","mangrove"
"strigata",79.37902017,10.31217417,"Erippurakarai","mangrove"
"bengalensis",78.15973649,8.77004203,"Tuticorin","mangrove"
"bengalensis",78.16043487,8.7700417,"Tuticorin","mangrove"
"bengalensis",78.15865162,8.76990139,"Tuticorin","mangrove"
"bengalensis",76.239211,9.981729,"Kochi/Puthuvypin","mangrove"
"bengalensis",75.91748561,10.78368279,"Ponnani","mangrove"
"bengalensis",75.918169,10.784107,"Ponnani","mangrove"
"bengalensis",75.84113108,11.13771116,"Kadalundi","mangrove"
"bengalensis",75.595998,11.553457,"Kolavipalam","mangrove"
"bengalensis",75.53595026,11.70997102,"Mahe","mangrove"
"bengalensis",75.346668,11.929932,"Valapattanam","mangrove"
"bengalensis",75.314275,11.955978,"Madakkara","mangrove"
"bengalensis",75.27198351,12.02690343,"Dharmadom_mangrove","mangrove"
"pallescens",75.230132,12.03063405,"Palackode, Kannur","mangrove"
"bengalensis",74.78653201,13.07633406,"Mulki","mangrove"
"bengalensis",74.78680274,13.07672029,"Mulki","mangrove"
"bengalensis",74.69557436,13.46954682,"Airody","mangrove"
"bengalensis",74.67170823,13.6233125,"North of Kodi beach","mangrove"
"bengalensis",74.65211998,13.66677552,"Gujjadi_mangrove","mangrove"
"bengalensis",74.37882761,14.49599854,"Kumta","mangrove"
"bengalensis",73.89402537,15.40643491,"Zuari ","mangrove"
"bengalensis",73.78128248,15.49763647,"Mandovi","mangrove"
"bengalensis",73.72414087,15.72646276,"Tiracol","mangrove"
"bengalensis",73.68454308,15.75374493,"Mhartale","mangrove"
"bengalensis",73.68381822,15.75375139,"Mhartale","mangrove"
"bengalensis",73.65952956,15.79444226,"Tank","mangrove"
"bengalensis",73.62515084,15.85899599,"Vengurla","mangrove"
"carinifera",73.46897738,16.07389684,"Kolamb","mangrove"
"bengalensis",73.44281369,16.20417232,"Achara Bandar","mangrove"
"bengalensis",73.42192439,16.28491561,"Morve","mangrove"
"bengalensis",73.39408139,16.35553323,"Mith Mumbri","mangrove"
"bengalensis",73.3940223,16.35574185,"Mith Mumbri","mangrove"
"bengalensis",73.39324705,16.35621686,"Mith Mumbri","mangrove"
"bengalensis",73.36245957,16.4423223,"Phanase","mangrove"
"bengalensis",73.36234884,16.4429574,"Phanase","mangrove"
"bengalensis",73.36098251,16.4430092,"Phanase","mangrove"
"bengalensis",73.35970343,16.54156873,"Shirse","mangrove"
"undulata",73.31485296,16.80689729,"Purnagad","mixed"
"bengalensis",73.32111541,16.80696401,"Purnagad","mixed"
"undulata",73.31573088,16.80702469,"Purnagad","mixed"
"bengalensis",73.29868829,16.86086141,"Ganeshgule_mangrove","mangrove"
"bengalensis",73.31204921,16.89329644,"Ranpur","mangrove"
"bengalensis",73.31200093,16.89341588,"Ranpur","mangrove"
"carinifera",73.05081706,17.90675864,"Kelshi","mixed"
"carinifera",73.05076366,17.90689853,"Kelshi","mixed"
"strigata",73.0510582,17.90701127,"Kelshi","mixed"
"undulata",73.0517632,17.90706684,"Kelshi","mixed"
"bengalensis",73.05194115,17.90710757,"Kelshi","mixed"
"carinifera",72.99491093,18.18495903,"Divegar","mangrove"
