"species","long","lat","area","habitat"
"strigata",83.3873663,17.78061317,"Rushikonda","rocky"
"undulata",83.38708232,17.78026826,"Rushikonda","rocky"
"vidua",83.3868908,17.78007539,"Rushikonda","rocky"
"undulata",83.38685718,17.77984707,"Rushikonda","rocky"
"malaccana",83.38671084,17.77956854,"Rushikonda","rocky"
"undulata",83.26355084,17.65129851,"Yarada","rocky"
"leucosticta",83.26064886,17.64900933,"Yarada","rocky"
"leucosticta",80.2538343,12.79026398,"Kovalam_TN","rocky"
"undulata",79.83645986,11.93472404,"Pondicherry","rocky"
"malaccana",79.83015331,11.90342861,"Veerampattinam","rocky"
"strigata",79.85224877,10.67769094,"Velankanni","rocky"
"strigata",79.26630286,10.03865775,"Manamelkudi","rocky"
"malaccana",79.17835146,9.28098173,"Mandapam","rocky"
"malaccana",79.17872421,9.28087201,"Mandapam","rocky"
"leucosticta",79.16364038,9.27882263,"Mandapam","rocky"
"leucosticta",79.16292063,9.27862331,"Mandapam","rocky"
"leucosticta",79.38183105,9.19866297,"Dhanushkodi","rocky"
"undulata",78.12638506,8.50184955,"Tiruchendur","rocky"
"leucosticta",78.12928847,8.49502626,"Tiruchendur","rocky"
"undulata",78.125929,8.4904712,"Tiruchendur","rocky"
"undulata",77.5750833,8.1338917,"Anjugramam","rocky"
"undulata",77.53441315,8.07780831,"Kanyakumari","rocky"
"undulata",77.53511933,8.07810553,"Kanyakumari","rocky"
"undulata",77.53572945,8.07846076,"Kanyakumari","rocky"
"undulata",77.53564688,8.07849353,"Kanyakumari","rocky"
"undulata",77.31491047,8.12369529,"Muttom","rocky"
"undulata",77.31356928,8.12404524,"Muttom","rocky"
"undulata",77.31425802,8.12409762,"Muttom","rocky"
"undulata",77.31074953,8.12686097,"Muttom","rocky"
"undulata",77.30877944,8.12751777,"Muttom","rocky"
"undulata",76.9828229,8.38130822,"Vizhinjam","rocky"
"undulata",76.98169319,8.38197609,"Vizhinjam","rocky"
"undulata",76.9738577,8.3901342,"Kovalam","rocky"
"undulata",76.97289244,8.39781487,"Kovalam","rocky"
"undulata",76.97236866,8.39918884,"Kovalam","rocky"
"undulata",76.70729533,8.73063829,"Varkala","rocky"
"undulata",76.7003588,8.73787464,"Varkala","rocky"
"vidua",75.73609988,11.33122031,"Thalakolattur","rocky"
"leucosticta",75.45354475,11.77120392,"Dharmadom_rocky","rocky"
"undulata",75.4032069,11.83850935,"Thottadam beach","rocky"
"leucosticta",75.319508,11.911221,"Azhikode/Chala beach","rocky"
"leucosticta",75.21363867,12.01037851,"Ettikulam beach","rocky"
"malaccana",75.21728799,12.01170981,"Ettikulam beach","rocky"
"undulata",75.21868357,12.0120155,"Ettikulam beach","rocky"
"undulata",75.22165035,12.01539617,"Ettikulam beach","rocky"
"undulata",74.79056178,13.00070071,"Suratkal ","rocky"
"undulata",74.78960222,13.00351493,"Suratkal ","rocky"
"undulata",74.78933835,13.00415791,"Suratkal ","rocky"
"malaccana",74.65198813,13.66505882,"Gujjadi_rocky","rocky"
"malaccana",74.52641062,13.97438047,"Bhatkal","rocky"
"undulata",74.46003584,14.20071306,"Apsarakonda beach","rocky"
"undulata",74.321961,14.51857695,"Gokarna","rocky"
"undulata",74.31884101,14.51926754,"Gokarna","rocky"
"leucosticta",74.2815355,14.65415256,"Ankola","rocky"
"undulata",74.26282014,14.70495352,"Belekere","rocky"
"undulata",73.94015702,15.11867797,"Canaguinim","rocky"
"undulata",73.94103259,15.12011538,"Canaguinim","rocky"
"undulata",73.73285738,15.59983157,"Vagator","rocky"
"malaccana",73.73262159,15.60388187,"Vagator","rocky"
"undulata",73.73280264,15.6049483,"Vagator","rocky"
"undulata",73.73220476,15.60686574,"Vagator","rocky"
"malaccana",73.69986042,15.69250977,"Arambol","rocky"
"vidua",73.69832017,15.69291327,"Arambol","rocky"
"undulata",73.6984417,15.69373378,"Arambol","rocky"
"vidua",73.65530139,15.74259608,"Varachiker","rocky"
"vidua",73.5909785,15.90370799,"Kelus","rocky"
"undulata",73.5906967,15.90440109,"Kelus","rocky"
"undulata",73.45640796,16.06100941,"Dhuriwada","rocky"
"malaccana",73.45585593,16.06158684,"Dhuriwada","rocky"
"vidua",73.45555443,16.06174584,"Dhuriwada","rocky"
"vidua",73.45563188,16.06175523,"Dhuriwada","rocky"
"undulata",73.4580576,16.08555045,"Sarjekot","rocky"
"malaccana",73.45821912,16.08559923,"Sarjekot","rocky"
"undulata",73.45760289,16.08602461,"Sarjekot","rocky"
"undulata",73.45735361,16.08617415,"Sarjekot","rocky"
"undulata",73.39103155,16.33379275,"Kunkeshwar","rocky"
"undulata",73.39136322,16.33383357,"Kunkeshwar","rocky"
"undulata",73.39051698,16.33414236,"Kunkeshwar","rocky"
"undulata",73.34235859,16.47420773,"Girye","rocky"
"undulata",73.34234183,16.47440672,"Girye","rocky"
"undulata",73.34233319,16.47449498,"Girye","rocky"
"undulata",73.3391619,16.47992201,"Girye","rocky"
"undulata",73.33136246,16.55624167,"Vijaydurg","rocky"
"undulata",73.33165381,16.55633152,"Vijaydurg","rocky"
"undulata",73.3368749,16.63850812,"Ambolgad","rocky"
"undulata",73.33439796,16.64028777,"Ambolgad","rocky"
"undulata",73.31485296,16.80689729,"Purnagad","mixed"
"bengalensis",73.32111541,16.80696401,"Purnagad","mixed"
"undulata",73.31573088,16.80702469,"Purnagad","mixed"
"undulata",73.2908378,16.87089404,"Ganeshgule_rocky","rocky"
"undulata",73.29157373,16.8712615,"Ganeshgule_rocky","rocky"
"carinifera",73.05081706,17.90675864,"Kelshi","mixed"
"carinifera",73.05076366,17.90689853,"Kelshi","mixed"
"strigata",73.0510582,17.90701127,"Kelshi","mixed"
"undulata",73.0517632,17.90706684,"Kelshi","mixed"
"bengalensis",73.05194115,17.90710757,"Kelshi","mixed"
"malaccana",73.01897404,17.99265135,"Harihareshwar","rocky"
"malaccana",72.96867449,18.20538145,"Velas","mixed"
"strigata",72.96794484,18.20565127,"Velas","mixed"
"malaccana",72.95109177,18.33585156,"Murud","rocky"
"strigata",72.86448106,18.65467284,"Varsoi/Alibag","rocky"
"vidua",72.86438207,18.65544615,"Varsoi/Alibag","rocky"
"carinifera",72.65343346,19.84853111,"Ghivali","mixed"
"strigata",72.65377569,19.84960106,"Ghivali","mixed"
"malaccana",72.71087665,20.02535943,"Narpad","mixed"
"strigata",72.71118779,20.02569269,"Narpad","mixed"
"carinifera",72.71262864,20.02646064,"Narpad","mixed"
"carinifera",72.71290071,20.02662158,"Narpad","mixed"
"malaccana",70.958009,20.705862,"Gangeshwar, Diu","rocky"
