"","species","long","lat","area","habitat"
"1","strigata",83.3873663,17.78061317,"Rushikonda","rocky"
"6","undulata",83.38708232,17.78026826,"Rushikonda","rocky"
"9","vidua",83.3868908,17.78007539,"Rushikonda","rocky"
"11","undulata",83.38685718,17.77984707,"Rushikonda","rocky"
"12","malaccana",83.38671084,17.77956854,"Rushikonda","rocky"
"14","undulata",83.26355084,17.65129851,"Yarada","rocky"
"17","leucosticta",83.26064886,17.64900933,"Yarada","rocky"
"20","strigata",82.26882622,16.95561103,"Kakinada","mangrove"
"22","strigata",82.2690081,16.95497853,"Kakinada","mangrove"
"25","pallescens",82.26901347,16.95489345,"Kakinada","mangrove"
"27","bengalensis",82.2476112,16.93196408,"Kakinada","mangrove"
"29","bengalensis",82.24752076,16.93186845,"Kakinada","mangrove"
"31","bengalensis",81.17746923,16.14581927,"Machilipatnam","mangrove"
"32","melanostoma",81.18586111,16.14448244,"Machilipatnam","mangrove"
"33","strigata",81.18705377,16.14246902,"Machilipatnam","mangrove"
"37","bengalensis",81.10231482,15.97157417,"Hamsaladeevi","mangrove"
"39","leucosticta",80.2538343,12.79026398,"Kovalam_TN","rocky"
"41","undulata",79.83645986,11.93472404,"Pondicherry","rocky"
"44","malaccana",79.83015331,11.90342861,"Veerampattinam","rocky"
"48","bengalensis",79.79751,11.434962,"Pichavaram","mangrove"
"49","strigata",79.85224877,10.67769094,"Velankanni","rocky"
"52","strigata",79.37902017,10.31217417,"Erippurakarai","mangrove"
"53","strigata",79.26630286,10.03865775,"Manamelkudi","rocky"
"54","malaccana",79.17835146,9.28098173,"Mandapam","rocky"
"56","malaccana",79.17872421,9.28087201,"Mandapam","rocky"
"58","leucosticta",79.16364038,9.27882263,"Mandapam","rocky"
"60","leucosticta",79.16292063,9.27862331,"Mandapam","rocky"
"62","leucosticta",79.38183105,9.19866297,"Dhanushkodi","rocky"
"63","bengalensis",78.15973649,8.77004203,"Tuticorin","mangrove"
"64","bengalensis",78.16043487,8.7700417,"Tuticorin","mangrove"
"65","bengalensis",78.15865162,8.76990139,"Tuticorin","mangrove"
"66","undulata",78.12638506,8.50184955,"Tiruchendur","rocky"
"68","leucosticta",78.12928847,8.49502626,"Tiruchendur","rocky"
"70","undulata",78.125929,8.4904712,"Tiruchendur","rocky"
"73","undulata",77.5750833,8.1338917,"Anjugramam","rocky"
"74","undulata",77.53441315,8.07780831,"Kanyakumari","rocky"
"77","undulata",77.53511933,8.07810553,"Kanyakumari","rocky"
"78","undulata",77.53572945,8.07846076,"Kanyakumari","rocky"
"79","undulata",77.53564688,8.07849353,"Kanyakumari","rocky"
"80","undulata",77.31491047,8.12369529,"Muttom","rocky"
"82","undulata",77.31356928,8.12404524,"Muttom","rocky"
"83","undulata",77.31425802,8.12409762,"Muttom","rocky"
"84","undulata",77.31074953,8.12686097,"Muttom","rocky"
"85","undulata",77.30877944,8.12751777,"Muttom","rocky"
"86","undulata",76.9828229,8.38130822,"Vizhinjam","rocky"
"88","undulata",76.98169319,8.38197609,"Vizhinjam","rocky"
"89","undulata",76.9738577,8.3901342,"Kovalam","rocky"
"90","undulata",76.97289244,8.39781487,"Kovalam","rocky"
